trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1478,False,"{'a': 0.002, 'e': 0.05213076528455389}",25,0,-116.37186851993125,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
1479,False,"{'a': 0.002, 'e': 0.052026607946042414}",20,0,-110.78529855595919,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
1480,False,"{'a': 0.002, 'e': 0.05192265871403207}",25,0,-130.53189382979295,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
1481,False,"{'a': 0.002, 'e': 0.05181891717272583}",25,0,-215.1983510757793,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
1482,False,"{'a': 0.002, 'e': 0.05171538290715736}",25,7,-136.20767959758808,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 3}",1
1483,False,"{'a': 0.002, 'e': 0.05161205550318949}",25,0,-162.85625095402017,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
1484,False,"{'a': 0.002, 'e': 0.051508934547512424}",20,0,-52.78063333236194,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
1485,False,"{'a': 0.002, 'e': 0.051406019627642255}",20,0,-82.28461225130305,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
1486,False,"{'a': 0.002, 'e': 0.05130331033191911}",20,0,-139.0500485863058,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
1487,False,"{'a': 0.002, 'e': 0.05120080624950572}",20,0,-170.95042318249668,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
1488,False,"{'a': 0.002, 'e': 0.05109850697038558}",30,0,-128.69373055273525,"{0: 17, 1: 6, 2: 4, 3: 2, 4: 1}",0
1489,False,"{'a': 0.002, 'e': 0.050996412085361466}",25,0,-95.01250328022105,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
1490,False,"{'a': 0.002, 'e': 0.05089452118605367}",20,0,-66.19071055714727,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
1491,False,"{'a': 0.002, 'e': 0.0507928338648985}",20,0,-137.95272082203655,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
1492,False,"{'a': 0.002, 'e': 0.050691349715146494}",30,0,-27.68468974050537,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",0
1493,False,"{'a': 0.002, 'e': 0.05059006833086096}",25,0,-160.7732324874864,"{0: 9, 1: 6, 2: 8, 3: 1, 4: 1}",0
1494,False,"{'a': 0.002, 'e': 0.05048898930691617}",25,0,-116.41807273117468,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
1495,False,"{'a': 0.002, 'e': 0.05038811223899596}",25,0,-153.63797409996167,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
1496,False,"{'a': 0.002, 'e': 0.050287436723591865}",20,0,-161.1219294817373,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
1497,False,"{'a': 0.002, 'e': 0.050186962358001734}",25,0,-124.22353744474641,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
1498,False,"{'a': 0.002, 'e': 0.05008668874032793}",25,0,-136.92033884184164,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
1499,False,"{'a': 0.002, 'e': 0.049986615469475894}",20,0,-98.65124914413678,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-35.6198046716273,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-186.35605096229963,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,0,-97.86936839982278,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-94.69022469360553,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-104.14836714221343,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-80.23335784802605,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-38.39507184125998,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-122.81391217509805,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-145.87626119480987,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",25,0,-60.60337336535402,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
